participant_id	question	response_onset_TR	response_offset_TR
s102	1	17	28
s102	2	35	53
s102	3	60	79
s102	4	86	103
s102	5	110	124
s102	6	131	160
s102	7	167	176
s102	8	183	203
s102	9	210	234
s102	10	241	261
s102	11	268	283
s102	12	290	304
s102	13	311	327
s102	14	334	381
s102	15	388	406
s102	16	413	434
s103	1	17	35
s103	2	42	56
s103	3	63	80
s103	4	87	109
s103	5	116	127
s103	6	134	155
s103	7	162	172
s103	8	179	189
s103	9	196	211
s103	10	218	229
s103	11	236	247
s103	12	254	275
s103	13	282	290
s103	14	297	303
s103	15	310	324
s103	16	331	352
s105	1	17	26
s105	2	33	45
s105	3	52	60
s105	4	67	84
s105	5	91	99
s105	6	106	121
s105	7	128	139
s105	8	146	158
s105	9	165	187
s105	10	194	211
s105	11	218	239
s105	12	246	262
s105	13	269	295
s105	14	302	318
s105	15	325	343
s105	16	350	368
s106	1	17	29
s106	2	36	51
s106	3	58	75
s106	4	82	110
s106	5	117	127
s106	6	134	163
s106	7	170	181
s106	8	188	207
s106	9	214	256
s106	10	263	282
s106	11	289	296
s106	12	303	346
s106	13	353	358
s106	14	365	409
s106	15	416	437
s106	16	444	466
s107	1	17	25
s107	2	32	42
s107	3	49	60
s107	4	67	102
s107	5	109	126
s107	6	133	151
s107	7	158	188
s107	8	195	204
s107	9	211	235
s107	10	242	293
s107	11	300	327
s107	12	334	359
s107	13	366	412
s107	14	419	461
s107	15	468	483
s107	16	490	519
s108	1	17	42
s108	2	49	74
s108	3	81	111
s108	4	118	157
s108	5	164	190
s108	6	197	238
s108	7	245	250
s108	8	257	278
s108	9	285	345
s108	10	352	367
s108	11	374	415
s108	12	422	471
s108	13	478	506
s108	14	513	542
s108	15	549	560
s108	16	567	572
s110	1	17	24
s110	2	31	54
s110	3	61	80
s110	4	87	122
s110	5	129	151
s110	6	158	180
s110	7	187	208
s110	8	215	242
s110	9	249	278
s110	10	285	306
s110	11	313	331
s110	12	338	364
s110	13	371	385
s110	14	392	447
s110	15	454	462
s110	16	469	492
s111	1	17	26
s111	2	33	55
s111	3	62	92
s111	4	99	140
s111	5	147	155
s111	6	162	223
s111	7	230	253
s111	8	260	314
s111	9	321	388
s111	10	395	431
s111	11	438	448
s111	12	455	499
s111	13	506	537
s111	14	544	582
s111	15	589	600
s111	16	607	634
s113	1	17	23
s113	2	30	65
s113	3	72	86
s113	4	93	165
s113	5	172	193
s113	6	200	247
s113	7	254	276
s113	8	283	296
s113	9	303	356
s113	10	363	389
s113	11	396	440
s113	12	447	475
s113	13	482	504
s113	14	511	588
s113	15	595	614
s113	16	622	655
s114	1	17	25
s114	2	32	52
s114	3	59	76
s114	4	83	105
s114	5	112	136
s114	6	143	168
s114	7	175	189
s114	8	196	217
s114	9	224	254
s114	10	261	280
s114	11	287	302
s114	12	309	345
s114	13	352	357
s114	14	364	395
s114	15	402	427
s114	16	434	454
s116	1	17	26
s116	2	33	38
s116	3	45	54
s116	4	61	76
s116	5	83	88
s116	6	95	116
s116	7	123	131
s116	8	138	151
s116	9	158	178
s116	10	185	195
s116	11	202	211
s116	12	218	237
s116	13	244	260
s116	14	267	293
s116	15	300	307
s116	16	314	321
s118	1	17	35
s118	2	42	60
s118	3	67	85
s118	4	92	108
s118	5	115	129
s118	6	136	166
s118	7	173	183
s118	8	190	210
s118	9	217	236
s118	10	243	260
s118	11	267	283
s118	12	290	312
s118	13	319	326
s118	14	333	355
s118	15	362	377
s118	16	384	390
s120	1	17	35
s120	2	42	62
s120	3	69	84
s120	4	91	127
s120	5	134	158
s120	6	165	208
s120	7	215	230
s120	8	237	261
s120	9	268	292
s120	10	299	324
s120	11	331	348
s120	12	355	391
s120	13	398	408
s120	14	415	457
s120	15	464	489
s120	16	496	501
s121	1	17	29
s121	2	37	64
s121	3	71	80
s121	4	87	116
s121	5	123	134
s121	6	141	159
s121	7	166	172
s121	8	179	200
s121	9	207	217
s121	10	224	249
s121	11	256	271
s121	12	278	304
s121	13	311	336
s121	14	343	365
s121	15	372	382
s121	16	389	395
s122	1	17	27
s122	2	34	54
s122	3	61	75
s122	4	82	116
s122	5	123	134
s122	6	141	171
s122	7	178	190
s122	8	197	220
s122	9	227	247
s122	10	254	282
s122	11	289	307
s122	12	314	323
s122	13	330	357
s122	14	364	396
s122	15	403	409
s122	16	417	431
s125	1	17	32
s125	2	39	52
s125	3	59	73
s125	4	80	115
s125	5	122	135
s125	6	142	178
s125	7	185	212
s125	8	219	241
s125	9	248	284
s125	10	291	315
s125	11	322	349
s125	12	356	386
s125	13	393	408
s125	14	415	449
s125	15	456	463
s125	16	470	515
s126	1	17	24
s126	2	31	38
s126	3	45	52
s126	4	59	66
s126	5	73	83
s126	6	90	102
s126	7	109	118
s126	8	125	132
s126	9	139	155
s126	10	162	182
s126	11	189	200
s126	12	207	219
s126	13	226	237
s126	14	244	267
s126	15	274	279
s126	16	286	298
s127	1	17	29
s127	2	36	53
s127	3	60	79
s127	4	86	100
s127	5	107	114
s127	6	121	148
s127	7	155	169
s127	8	176	188
s127	9	195	244
s127	10	251	262
s127	11	269	280
s127	12	287	322
s127	13	330	336
s127	14	343	378
s127	15	385	395
s127	16	402	407
s129	1	17	22
s129	2	29	42
s129	3	49	62
s129	4	69	89
s129	5	96	109
s129	6	116	135
s129	7	142	157
s129	8	164	175
s129	9	182	202
s129	10	209	225
s129	11	232	247
s129	12	254	264
s129	13	271	276
s129	14	283	310
s129	15	317	324
s129	16	331	343
s213	1	17	27
s213	2	34	45
s213	3	52	63
s213	4	70	97
s213	5	104	130
s213	6	137	181
s213	7	188	222
s213	8	229	249
s213	9	256	329
s213	10	336	363
s213	11	370	422
s213	12	429	476
s213	13	483	539
s213	14	546	588
s213	15	595	605
s213	16	612	631
s214	1	17	22
s214	2	29	41
s214	3	48	63
s214	4	70	110
s214	5	117	157
s214	6	164	193
s214	7	200	210
s214	8	217	241
s214	9	248	313
s214	10	320	363
s214	11	370	400
s214	12	407	448
s214	13	455	496
s214	14	503	542
s214	15	549	592
s214	16	599	626
s215	1	17	26
s215	2	33	48
s215	3	55	76
s215	4	83	118
s215	5	125	152
s215	6	159	177
s215	7	184	203
s215	8	210	232
s215	9	239	293
s215	10	300	324
s215	11	331	376
s215	12	383	418
s215	13	425	460
s215	14	467	525
s215	15	532	546
s215	16	553	575
s216	1	17	22
s216	2	29	34
s216	3	41	50
s216	4	57	84
s216	5	91	103
s216	6	110	127
s216	7	134	147
s216	8	154	159
s216	9	166	186
s216	10	193	208
s216	11	215	231
s216	12	238	249
s216	13	256	278
s216	14	285	314
s216	15	321	333
s216	16	340	357
